angle,curLapTime,damage,distFromStart,distRaced,focus,fuel,gear,lastLapTime,opponents,racePos,rpm,speedX,speedY,speedZ,track,trackPos,wheelSpinVel,z,parser,actions,accel,brake,gear,steer,clutch,focus,meta
-0.0133688,-0.982,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",94,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,942.478,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.962,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",94,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,942.478,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.942,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",94,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,1052.16,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.922,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",94,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,1165.01,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.902,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",94,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,1279.93,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.882,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",94,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,1396.97,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.862,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9999,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,1516.15,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.842,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9998,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,1637.51,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.822,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9998,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,1761.06,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
-0.0133688,-0.802,0,4183.37,0,"[-1.0, -1.0, -1.0, -1.0, -1.0]",93.9997,0,0,"[200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0]",1,1886.86,-0.00167518,0.00186722,0.00297884,"[4.00035, 4.12669, 4.58383, 5.58272, 7.81963, 11.2818, 14.7216, 21.4134, 39.8145, 200.0, 108.356, 49.8544, 32.5358, 24.2846, 16.3808, 11.468, 9.3103, 8.31273, 8.00072]",0.333334,"[0.0, 0.0, 0.0, 0.0]",0.345268,<msgParser.MsgParser object at 0x0000029B81458D60>,"{'accel': [0.7], 'brake': [0], 'gear': [1], 'steer': [0], 'clutch': [0.0], 'focus': [0], 'meta': [0]}",0.7,0,1,0,0,0,0
